date,time, latitude, longitude,include
26/3/2015, 21:2:32,38.9863,-77.0948,1
26/3/2015, 21:2:43,38.9863,-77.0948,1
26/3/2015, 21:2:52,38.9863,-77.0948,1
26/3/2015, 21:3:4,38.9863,-77.0948,1
26/3/2015, 21:3:15,38.9863,-77.0948,1
26/3/2015, 21:3:24,38.9863,-77.0948,1
26/3/2015, 21:3:36,38.9864,-77.0948,1
26/3/2015, 21:3:46,38.9864,-77.0948,1
26/3/2015, 21:3:56,38.9864,-77.0948,1
26/3/2015, 21:4:7,38.9864,-77.0948,1
26/3/2015, 21:4:18,38.9864,-77.0948,1
26/3/2015, 21:4:28,38.9864,-77.0948,1
26/3/2015, 21:4:39,38.9864,-77.0948,1
26/3/2015, 21:4:48,38.9864,-77.0948,1
26/3/2015, 21:5:0,38.9864,-77.0948,1
26/3/2015, 21:5:10,38.9864,-77.0948,1
26/3/2015, 21:5:20,38.9864,-77.0948,1
26/3/2015, 21:5:31,38.9864,-77.0948,1
26/3/2015, 21:5:42,38.9864,-77.0948,1
26/3/2015, 21:5:52,38.9864,-77.0948,1
26/3/2015, 21:6:3,38.9864,-77.0948,1
26/3/2015, 21:6:12,38.9864,-77.0948,1
26/3/2015, 21:6:24,38.9864,-77.0948,1
26/3/2015, 21:6:34,38.9864,-77.0948,1
26/3/2015, 21:6:44,38.9864,-77.0948,1
26/3/2015, 21:6:55,38.9864,-77.0948,1
26/3/2015, 21:7:6,38.9864,-77.0948,1
26/3/2015, 21:7:16,38.9863,-77.0948,1
26/3/2015, 21:7:27,38.9863,-77.0948,1
26/3/2015, 21:7:38,38.9863,-77.0948,1
26/3/2015, 21:7:48,38.9863,-77.0948,1
26/3/2015, 21:7:59,38.9863,-77.0948,1
26/3/2015, 21:8:8,38.9863,-77.0948,1
26/3/2015, 21:8:20,38.9863,-77.0948,1
26/3/2015, 21:8:30,38.9863,-77.0948,1
26/3/2015, 21:8:40,38.9863,-77.0948,1
26/3/2015, 21:8:51,38.9863,-77.0948,1
26/3/2015, 21:9:2,38.9863,-77.0948,1
26/3/2015, 21:9:12,38.9863,-77.0948,1
26/3/2015, 21:9:23,38.9863,-77.0948,1
26/3/2015, 21:9:32,38.9863,-77.0948,1
26/3/2015, 21:9:44,38.9863,-77.0948,1
26/3/2015, 21:9:54,38.9863,-77.0948,1
26/3/2015, 21:10:4,38.9863,-77.0948,1
26/3/2015, 21:10:15,38.9863,-77.0948,1
26/3/2015, 21:10:26,38.9863,-77.0948,1
26/3/2015, 21:10:36,38.9863,-77.0948,1
26/3/2015, 21:10:47,38.9863,-77.0948,1
26/3/2015, 21:10:56,38.9863,-77.0948,1
26/3/2015, 21:11:8,38.9863,-77.0948,1
26/3/2015, 21:11:19,38.9863,-77.0948,1
26/3/2015, 21:11:28,38.9863,-77.0948,1
26/3/2015, 21:11:40,38.9863,-77.0947,1
26/3/2015, 21:11:50,38.9863,-77.0947,1
26/3/2015, 21:12:0,38.9863,-77.0947,1
26/3/2015, 21:12:11,38.9863,-77.0947,1
26/3/2015, 21:12:22,38.9863,-77.0947,1
26/3/2015, 21:12:32,38.9863,-77.0947,1
26/3/2015, 21:12:43,38.9863,-77.0947,1
26/3/2015, 21:12:52,38.9863,-77.0947,1
26/3/2015, 21:13:4,38.9863,-77.0947,1
26/3/2015, 21:13:14,38.9863,-77.0947,1
26/3/2015, 21:13:24,38.9863,-77.0948,1
26/3/2015, 21:13:35,38.9863,-77.0947,1
26/3/2015, 21:13:46,38.9863,-77.0947,1
26/3/2015, 21:13:56,38.9863,-77.0948,1
26/3/2015, 21:14:7,38.9863,-77.0948,1
26/3/2015, 21:14:16,38.9863,-77.0948,1
26/3/2015, 21:14:28,38.9863,-77.0948,1
26/3/2015, 21:14:38,38.9863,-77.0948,1
26/3/2015, 21:14:48,38.9863,-77.0948,1
26/3/2015, 21:14:59,38.9863,-77.0948,1
26/3/2015, 21:15:10,38.9863,-77.0948,1
26/3/2015, 21:15:20,38.9863,-77.0948,1
26/3/2015, 21:15:31,38.9863,-77.0948,1
26/3/2015, 21:15:42,38.9863,-77.0948,1
26/3/2015, 21:15:52,38.9863,-77.0948,1
26/3/2015, 21:16:3,38.9863,-77.0948,1
26/3/2015, 21:16:12,38.9863,-77.0948,1
26/3/2015, 21:16:24,38.9863,-77.0948,1
26/3/2015, 21:16:34,38.9863,-77.0948,1
26/3/2015, 21:16:44,38.9863,-77.0948,1
26/3/2015, 21:16:55,38.9863,-77.0948,1
26/3/2015, 21:17:6,38.9863,-77.0948,1
26/3/2015, 21:17:16,38.9863,-77.0948,1
26/3/2015, 21:17:27,38.9863,-77.0948,1
